Country,Code,Year,Life_expectancy,GDP_PPP,Population,Fertility_rate,Region,Religion
Afghanistan,AFG,2015,63.377,1.9,34.4,4.802,Asia,Islam
Albania,ALB,2015,78.025,10.9,2.9,1.714,Europe,Islam
Algeria,DZA,2015,76.09,13,39.7,2.839,Africa,Islam
Angola,AGO,2015,59.398,8.6,27.9,5.766,Africa,Christianity
Argentina,ARG,2015,76.068,19.3,43.1,2.308,South America,Christianity
Armenia,ARM,2015,74.467,9.6,2.9,1.622,Asia,Christianity
Australia,AUS,2015,82.794,44.3,23.9,1.856,Oceania,Christianity
Austria,AUT,2015,81.182,44.8,8.7,1.48,Europe,Christianity
Azerbaijan,AZE,2015,72.266,16,9.6,2.092,Asia,Islam
Bahrain,BHR,2015,76.762,39.2,1.4,2.056,Asia,Islam
Bangladesh,BGD,2015,71.514,3.1,156.3,2.133,Asia,Islam
Barbados,BRB,2015,78.801,10,0.3,1.796,North America,Christianity
Belarus,BLR,2015,73.652,19.3,9.4,1.686,Europe,Christianity
Belgium,BEL,2015,80.969,39.5,11.3,1.786,Europe,Christianity
Benin,BEN,2015,60.608,2.1,10.6,5.048,Africa,Christianity
Bolivia,BOL,2015,70.277,6,10.9,2.921,South America,Christianity
Bosnia and Herzegovina,BIH,2015,76.865,10.3,3.4,1.345,Europe,Christianity
Botswana,BWA,2015,67.338,14.6,2.1,2.774,Africa,Christianity
Brazil,BRA,2015,74.994,15.4,204.5,1.74,South America,Christianity
Bulgaria,BGR,2015,74.584,17.3,7.2,1.545,Europe,Christianity
Burkina Faso,BFA,2015,59.919,1.5,18.1,5.436,Africa,Islam
Burundi,BDI,2015,60.123,0.7,10.2,5.781,Africa,Christianity
Cambodia,KHM,2015,68.637,3.1,15.5,2.594,Asia,Other
Cameroon,CMR,2015,57.583,2.8,23.3,4.778,Africa,Christianity
Canada,CAN,2015,82.026,42.8,36,1.586,North America,Christianity
Cape Verde,CPV,2015,72.117,6.4,0.5,2.374,Africa,Christianity
Central African Republic,CAF,2015,50.881,0.6,4.5,4.94,Africa,Christianity
Chad,TCD,2015,53.137,2.4,14.1,6.05,Africa,Islam
Chile,CHL,2015,79.646,21.3,18,1.785,South America,Christianity
China,CHN,2015,75.928,12,1406.8,1.617,Asia,Other
Colombia,COL,2015,76.531,12.9,47.5,1.874,South America,Christianity
Comoros,COM,2015,63.471,1.7,0.8,4.42,Africa,Islam
Congo,COG,2015,63.097,4.5,4.9,4.721,Africa,Christianity
Costa Rica,CRI,2015,79.565,13.6,4.8,1.8,North America,Christianity
Cote d'Ivoire,CIV,2015,56.065,3.5,23.2,4.976,Africa,Christianity
Croatia,HRV,2015,77.892,20.9,4.2,1.464,Europe,Christianity
Cuba,CUB,2015,78.561,7.9,11.3,1.72,North America,Christianity
Cyprus,CYP,2015,80.35,25.9,1.2,1.35,Europe,Christianity
Czech Republic,CZE,2015,78.692,30.4,10.6,1.522,Europe,Other
Democratic Republic of Congo,COD,2015,59.254,0.8,76.2,6.202,Africa,Christianity
Denmark,DNK,2015,80.475,44.9,5.7,1.736,Europe,Christianity
Djibouti,DJI,2015,64.136,3.3,0.9,2.913,Africa,Islam
Dominican Republic,DOM,2015,73.241,13.4,10.3,2.451,North America,Christianity
Ecuador,ECU,2015,76.143,10.9,16.2,2.514,South America,Christianity
Egypt,EGY,2015,71.302,11.2,92.4,3.311,Africa,Islam
El Salvador,SLV,2015,72.412,8.2,6.3,2.101,North America,Christianity
Equatorial Guinea,GNQ,2015,57.359,35.7,1.2,4.775,Africa,Christianity
Estonia,EST,2015,77.783,25.8,1.3,1.617,Europe,Other
Ethiopia,ETH,2015,65.048,1.6,100.8,4.317,Africa,Christianity
Finland,FIN,2015,81.196,37.9,5.5,1.77,Europe,Christianity
France,FRA,2015,82.224,38.4,64.5,1.979,Europe,Christianity
Gabon,GAB,2015,64.913,14.3,1.9,3.85,Africa,Christianity
Gambia,GMB,2015,60.91,1.9,2.1,5.488,Africa,Islam
Georgia,GEO,2015,72.973,10.2,4,2.003,Asia,Christianity
Germany,DEU,2015,80.77,46.4,81.8,1.45,Europe,Christianity
Ghana,GHA,2015,62.772,3.7,27.8,4.042,Africa,Christianity
Greece,GRC,2015,81.548,24.5,10.7,1.314,Europe,Christianity
Guatemala,GTM,2015,73.25,7.1,16.3,3.029,North America,Christianity
Guinea,GIN,2015,59.598,1.6,11.4,4.934,Africa,Islam
Guinea-Bissau,GNB,2015,56.959,1.3,1.7,4.71,Africa,Islam
Haiti,HTI,2015,62.485,1.6,10.7,2.973,North America,Christianity
Honduras,HND,2015,74.495,4.4,9.1,2.507,North America,Christianity
Hong Kong,HKG,2015,84.043,46.5,7.2,1.271,Asia,Other
Hungary,HUN,2015,76.006,23.5,9.8,1.361,Europe,Christianity
Iceland,ISL,2015,82.481,40.6,0.3,1.946,Europe,Christianity
India,IND,2015,68.607,5.6,1310.2,2.352,Asia,Other
Indonesia,IDN,2015,70.768,10.1,258.4,2.389,Asia,Islam
Iran,IRN,2015,75.796,15,78.5,1.686,Asia,Islam
Iraq,IRQ,2015,69.929,13.1,35.6,4.427,Asia,Islam
Ireland,IRL,2015,81.344,53.4,4.7,1.989,Europe,Christianity
Israel,ISR,2015,82.34,31.7,8,2.999,Asia,Other
Italy,ITA,2015,82.828,34.7,60.6,1.457,Europe,Christianity
Jamaica,JAM,2015,74.098,7.1,2.9,2.026,North America,Christianity
Japan,JPN,2015,83.879,36,128,1.444,Asia,Other
Jordan,JOR,2015,74.078,11.7,9.3,3.445,Asia,Islam
Kazakhstan,KAZ,2015,71.319,23.4,17.6,2.658,Asia,Islam
Kenya,KEN,2015,64.798,3.1,47.9,3.917,Africa,Christianity
Kuwait,KWT,2015,75.13,68.1,3.8,1.986,Asia,Islam
Kyrgyzstan,KGZ,2015,70.876,5.9,6,3.051,Asia,Islam
Laos,LAO,2015,66.546,6,6.7,2.758,Asia,Other
Latvia,LVA,2015,74.733,22.7,2,1.531,Europe,Christianity
Lebanon,LBN,2015,78.768,12.7,6.5,1.72,Asia,Islam
Lesotho,LSO,2015,51.038,3,2.1,3.143,Africa,Christianity
Liberia,LBR,2015,62.269,0.8,4.5,4.65,Africa,Christianity
Libya,LBY,2015,72.121,8.5,6.4,2.312,Africa,Islam
Lithuania,LTU,2015,74.923,25.3,2.9,1.637,Europe,Christianity
Luxembourg,LUX,2015,81.636,67.8,0.6,1.562,Europe,Christianity
Macedonia,MKD,2015,75.406,13.6,2.1,1.524,Europe,Christianity
Madagascar,MDG,2015,65.539,1.3,24.2,4.241,Africa,Christianity
Malawi,MWI,2015,61.953,1,16.7,4.646,Africa,Christianity
Malaysia,MYS,2015,75.461,22.1,30.3,2.056,Asia,Islam
Mali,MLI,2015,57.509,1.6,17.4,6.145,Africa,Islam
Malta,MLT,2015,81.896,26.6,0.4,1.443,Europe,Christianity
Mauritania,MRT,2015,63.936,3.3,4,4.736,Africa,Islam
Mauritius,MUS,2015,74.5,18.3,1.3,1.443,Africa,Other
Mexico,MEX,2015,74.904,15.8,121.9,2.215,North America,Christianity
Moldova,MDA,2015,71.478,5.6,4.1,1.248,Europe,Christianity
Mongolia,MNG,2015,69.111,11.1,3,2.793,Asia,Other
Montenegro,MNE,2015,76.452,17.7,0.6,1.677,Europe,Christianity
Morocco,MAR,2015,75.726,7.6,34.7,2.526,Africa,Islam
Mozambique,MOZ,2015,57.206,1.3,27,5.305,Africa,Christianity
Myanmar,MMR,2015,65.81,5.8,52.7,2.23,Asia,Other
Namibia,NAM,2015,62.119,11.8,2.3,3.473,Africa,Christianity
Nepal,NPL,2015,69.515,2.6,27,2.162,Asia,Other
Netherlands,NLD,2015,81.715,48.5,16.9,1.739,Europe,Christianity
New Zealand,NZL,2015,81.713,33.4,4.6,2.002,Oceania,Christianity
Nicaragua,NIC,2015,73.649,4.7,6.2,2.231,North America,Christianity
Niger,NER,2015,60.631,0.9,20,7.29,Africa,Islam
Nigeria,NGA,2015,53.112,5.5,181.1,5.591,Africa,Christianity
North Korea,PRK,2015,71.481,1.7,25.2,1.921,Asia,Other
Norway,NOR,2015,81.912,76.3,5.2,1.816,Europe,Christianity
Oman,OMN,2015,76.887,37.1,4.3,2.737,Asia,Islam
Pakistan,PAK,2015,66.577,5.1,199.4,3.55,Asia,Islam
Palestine,PSE,2015,73.442,4.4,4.5,4.075,Asia,Islam
Panama,PAN,2015,77.776,20.8,4,2.541,North America,Christianity
Paraguay,PRY,2015,73.662,8.4,6.7,2.509,South America,Christianity
Peru,PER,2015,75.792,11.2,30.5,2.429,South America,Christianity
Philippines,PHL,2015,70.644,6.9,102.1,2.958,Asia,Christianity
Poland,POL,2015,77.859,25.3,38,1.308,Europe,Christianity
Portugal,PRT,2015,81.224,27.3,10.4,1.254,Europe,Christianity
Puerto Rico,PRI,2015,79.52,35.4,3.4,1.481,North America,Christianity
Qatar,QAT,2015,79.758,139.5,2.6,1.929,Asia,Islam
Romania,ROU,2015,75.476,20.5,19.9,1.512,Europe,Christianity
Russia,RUS,2015,71.464,23.1,145,1.741,Europe,Christianity
Rwanda,RWA,2015,67.45,1.7,11.4,3.967,Africa,Christianity
Saint Lucia,LCA,2015,75.596,10.7,0.2,1.471,North America,Christianity
Sao Tome and Principe,STP,2015,69.377,3.6,0.2,4.518,Africa,Christianity
Saudi Arabia,SAU,2015,74.651,47.7,31.7,2.579,Asia,Islam
Senegal,SEN,2015,66.747,2.4,14.6,4.84,Africa,Islam
Seychelles,SYC,2015,73.182,24,0.1,2.333,Africa,Christianity
Sierra Leone,SLE,2015,52.941,1,7.2,4.561,Africa,Islam
Singapore,SGP,2015,82.877,67.1,5.6,1.242,Asia,Other
Slovakia,SVK,2015,76.827,25.9,5.4,1.427,Europe,Christianity
Slovenia,SVN,2015,80.673,28.1,2.1,1.614,Europe,Christianity
South Africa,ZAF,2015,62.649,12.1,55.4,2.485,Africa,Christianity
South Korea,KOR,2015,82.1,35.3,50.8,1.276,Asia,Other
Spain,ESP,2015,82.981,33.4,46.7,1.352,Europe,Christianity
Sri Lanka,LKA,2015,76.316,10.7,20.9,2.063,Asia,Other
Sudan,SDN,2015,64.429,3.7,38.9,4.595,Africa,Islam
Swaziland,SWZ,2015,55.359,7.7,1.1,3.141,Africa,Christianity
Sweden,SWE,2015,82.251,43.5,9.8,1.907,Europe,Christianity
Switzerland,CHE,2015,83.142,61.5,8.3,1.54,Europe,Christianity
Syria,SYR,2015,69.908,3.5,18,2.966,Asia,Islam
Taiwan,TWN,2015,79.743,41.8,23.6,1.158,Asia,Other
Tajikistan,TJK,2015,70.137,3.4,8.5,3.404,Asia,Islam
Tanzania,TZA,2015,63.111,2.4,51.5,5.079,Africa,Christianity
Thailand,THA,2015,76.091,13.9,68.7,1.498,Asia,Other
Togo,TGO,2015,59.927,1.5,7.3,4.517,Africa,Christianity
Trinidad and Tobago,TTO,2015,72.941,30.9,1.4,1.766,North America,Christianity
Tunisia,TUN,2015,75.922,10.6,11.2,2.223,Africa,Islam
Turkey,TUR,2015,76.532,20.8,78.5,2.072,Asia,Islam
Turkmenistan,TKM,2015,67.704,21.3,5.6,2.931,Asia,Islam
Uganda,UGA,2015,61.373,1.9,38.2,5.682,Africa,Christianity
Ukraine,UKR,2015,71.535,9.4,44.9,1.528,Europe,Christianity
United Arab Emirates,ARE,2015,77.285,69.2,9.3,1.765,Asia,Islam
United Kingdom,GBR,2015,81.052,38.7,65.9,1.876,Europe,Christianity
United States,USA,2015,78.91,52.6,320.9,1.868,North America,Christianity
Uruguay,URY,2015,77.369,19.7,3.4,2.007,South America,Christianity
Uzbekistan,UZB,2015,70.928,9.1,30.9,2.313,Asia,Islam
Venezuela,VEN,2015,72.584,16.3,30.1,2.341,South America,Christianity
Vietnam,VNM,2015,75.11,5.7,92.7,1.958,Asia,Other
Yemen,YEM,2015,66.085,2.5,26.5,4.104,Asia,Islam
Zambia,ZMB,2015,61.737,3.5,15.9,5.041,Africa,Christianity
Zimbabwe,ZWE,2015,59.534,1.8,13.8,3.836,Africa,Christianity
