City,January,April,July,October,Latitude,Longitude
Atlanta,-8,26,53,28,33.7488,-84.3879
Baltimore,-7,20,51,25,39.2904,-76.6122
Bismarck,-44,-12,35,5,46.8083,-100.7837
Boston,-12,16,54,28,42.3601,-71.0589
Chicago,-27,7,40,17,41.8781,-87.6298
Dallas,4,30,59,29,32.7767,-96.797
Denver,-25,-2,43,3,39.7392,-104.9903
El Paso,-8,23,57,25,31.7619,-106.485
Honolulu,53,57,67,64,21.3069,-157.8583
Houston,12,31,62,33,29.7604,-95.3698
Juneau,-22,6,36,11,58.3019,-134.4197
Los Angeles,23,39,49,41,34.0522,-118.2437
Miami,30,46,69,51,25.7617,-80.1918
Nashville,-17,23,51,26,36.1627,-86.7816
New York,-6,12,52,28,40.7128,-74.006
Omaha,-23,5,44,13,41.2565,-96.9346
Phoenix,17,32,61,34,33.4484,-112.074
Portland,-26,8,40,15,45.5155,-122.6762
Reno,-16,13,33,8,39.5294,-119.8138
San Francisco,24,31,43,34,37.7749,-122.4194
Seattle,0,29,43,28,47.6062,-122.3321
Washington,-5,24,55,29,38.8951,-77.0369
