Country,Code,Year,Life_expectancy,GDP_PPP,Population,Fertility_rate,Region,Religion
Qatar,QAT,2015,79.758,139.5,2.6,1.929,Asia,Islam
Norway,NOR,2015,81.912,76.3,5.2,1.816,Europe,Christianity
United Arab Emirates,ARE,2015,77.285,69.2,9.3,1.765,Asia,Islam
Kuwait,KWT,2015,75.13,68.1,3.8,1.986,Asia,Islam
Luxembourg,LUX,2015,81.636,67.8,0.6,1.562,Europe,Christianity
Singapore,SGP,2015,82.877,67.1,5.6,1.242,Asia,Other
Switzerland,CHE,2015,83.142,61.5,8.3,1.54,Europe,Christianity
Ireland,IRL,2015,81.344,53.4,4.7,1.989,Europe,Christianity
United States,USA,2015,78.91,52.6,320.9,1.868,North America,Christianity
Netherlands,NLD,2015,81.715,48.5,16.9,1.739,Europe,Christianity
Saudi Arabia,SAU,2015,74.651,47.7,31.7,2.579,Asia,Islam
Hong Kong,HKG,2015,84.043,46.5,7.2,1.271,Asia,Other
Germany,DEU,2015,80.77,46.4,81.8,1.45,Europe,Christianity
Denmark,DNK,2015,80.475,44.9,5.7,1.736,Europe,Christianity
Austria,AUT,2015,81.182,44.8,8.7,1.48,Europe,Christianity
Australia,AUS,2015,82.794,44.3,23.9,1.856,Oceania,Christianity
Sweden,SWE,2015,82.251,43.5,9.8,1.907,Europe,Christianity
Canada,CAN,2015,82.026,42.8,36,1.586,North America,Christianity
Taiwan,TWN,2015,79.743,41.8,23.6,1.158,Asia,Other
Iceland,ISL,2015,82.481,40.6,0.3,1.946,Europe,Christianity
Belgium,BEL,2015,80.969,39.5,11.3,1.786,Europe,Christianity
Bahrain,BHR,2015,76.762,39.2,1.4,2.056,Asia,Islam
United Kingdom,GBR,2015,81.052,38.7,65.9,1.876,Europe,Christianity
France,FRA,2015,82.224,38.4,64.5,1.979,Europe,Christianity
Finland,FIN,2015,81.196,37.9,5.5,1.77,Europe,Christianity
Oman,OMN,2015,76.887,37.1,4.3,2.737,Asia,Islam
Japan,JPN,2015,83.879,36,128,1.444,Asia,Other
Equatorial Guinea,GNQ,2015,57.359,35.7,1.2,4.775,Africa,Christianity
Puerto Rico,PRI,2015,79.52,35.4,3.4,1.481,North America,Christianity
