school_name,lat,long,planned_count,students_count,personnel_count,community
ք. Երևանի թիվ 188 հմ/դ,40.210175,44.46922,800,756,44,Աջափնյակ
ք. Երևանի թիվ 156 հմ/դ,40.203691,44.464578,1000,237,21,Աջափնյակ
ք. Երևանի Մ.Մեծարենցի անվ. թիվ 146 հմ/դ,40.189835,44.453851,764,266,27,Աջափնյակ
ք. Երևանի թիվ 168  հմ/դ,40.207599,44.465898,1100,1131,61,Աջափնյակ
ք. Երևանի թիվ 185 հմ/դ,40.211113,44.47013,1123,384,31,Աջափնյակ
ք. Երևանի Պ.Յավորովի անվ. թիվ 131 հմ/դ,40.193709,44.471219,1450,1050,61,Աջափնյակ
ք. Երևանի թիվ 195 ա/դ,40.210205,44.467114,900,490,42,Աջափնյակ
ք. Երևանի Լ. Միրիջանյանի անվ. թիվ 155  հմ/դ,40.205084,44.466788,1500,1381,60,Աջափնյակ
ք. Երևանի Գ.Մարգարյանի անվ. թիվ 94  ա/դ,40.195664,44.468386,750,251,24,Աջափնյակ
ք. Երևանի Ա.Երզնկյանի անվ. թիվ 118 ա/դ,40.193234,44.476144,1050,297,35,Աջափնյակ
ք. Երևանի Ջ. Աբրահամյանի անվ. թիվ 111 հմ/դ,40.195896,44.450924,964,256,25,Աջափնյակ
ք. Երևանի Ալ.Բլոկի անվ. թիվ 122  հմ/դ,40.192293,44.475983,750,607,40,Աջափնյակ
ք. Երևանի Հ. Մորգենթաուի անվ. թիվ 126  հմ/դ,40.196504,44.476496,360,182,21,Աջափնյակ
ք. Երևանի Վ.Սարոյանի անվ. թիվ 138 հմ/դ,40.207617,44.473948,1000,331,37,Աջափնյակ
ք. Երևանի թիվ Ռ. Իշխանյանի անվ.153  հմ/դ,40.197205,44.471193,650,538,45,Աջափնյակ
ք. Երևանի թիվ 108  մ/դ,40.212404,44.434531,940,621,47,Աջափնյակ
ք. Երևանի թիվ 109 ա/դ,40.207256,44.472862,920,252,32,Աջափնյակ
ք. Երևանի թիվ 102  հմ/դ,40.202812,44.473232,964,239,29,Աջափնյակ
ք. Երևանի թիվ 100 հմ/դ,40.204508,44.47881,900,367,31,Աջափնյակ
ք. Երևանի թիվ 22  հմ/դ,40.211595,44.460166,950,301,26,Աջափնյակ
ք. Երևանի «Շ.Շահամիրյան» կթհ.,40.189394,44.47827,242,105,24,Աջափնյակ
ք. Երևանի «Հայբուսակ» համ.-ի հենակետային ա/դ,40.200046,44.475999,630,37,17,Աջափնյակ
ք. Երևանի «Գյուղատնտեսական համալսարան» ՍՊԸ-ի ա/դ,40.210896,44.475434,150,18,14,Աջափնյակ
ք. Երևանի թիվ 104  հմ/դ,40.215795,44.56413,960,393,25,Ավան
ք. Երևանի թիվ  87 մ/դ,40.210475,44.567096,950,707,49,Ավան
ք. Երևանի թիվ 180  հմ/դ,40.225819,44.571695,1140,645,38,Ավան
ք. Երևանի թիվ 171  հմ/դ,40.217491,44.576476,1176,1323,61,Ավան
ք. Երևանի Ստարովոյտովայի անվ. թիվ 177  հմ/դ,40.217491,44.576476,1150,921,60,Ավան
ք. Երևանի Ն.Մեծի անվ. թիվ 124 հմ/դ,40.218391,44.564264,700,206,24,Ավան
ք. Երևանի թիվ 170 ա/դ,40.218812,44.574485,1260,486,41,Ավան
ք. Երևանի թիվ 16 հտ.մ/դ,40.218557,44.566282,250,209,44,Ավան
ք. Երևանի մտավոր թերզարգացում ունեցող երեխաների թիվ 6 հտ/դ,40.21766,44.565597,160,71,27,Ավան
ք. Երևանի «Օհանյան»  կթհ.,40.21754,44.576752,200,227,33,Ավան
ք. Երևանի «Գերմիոնա» կթհ.,40.214885,44.582418,124,42,19,Ավան
ք. Երևանի Հ.Հայրապետյանի անվ. թիվ 78 հմ/դ,40.19309,44.497503,600,811,50,Արաբկիր
ք. Երևանի Ալ.Շիրվանզադեի անվ. թիվ 21 հմ/դ,40.203578,44.498577,855,345,33,Արաբկիր
ք. Երևանի Ս.Կապուտիկյանի անվ. թիվ 145 հմ/դ,40.204235,44.491552,425,161,16,Արաբկիր
ք. Երևանի Ռ.Միրոյանի անվ. թիվ 77 հմ/դ,40.210746,44.526051,750,789,56,Արաբկիր
ք. Երևանի Ստ.Զորյանի անվ. թիվ 56 հմ/դ,40.200454,44.498032,720,969,53,Արաբկիր
ք. Երևանի Հայկ Բժշկյանցի անվ. թիվ 129 հմ/դ,40.203176,44.504838,500,195,19,Արաբկիր
ք. Երևանի «Արգենտինյան Հանրապետություն» թիվ 76 հմ/դ,40.192754,44.500394,450,341,33,Արաբկիր
ք. Երևանի Լ.Տոլստոյի անվ. թիվ 128 հմ/դ,40.201135,44.520952,250,727,46,Արաբկիր
ք. Երևանի Վ.Դավթյանի անվ. թիվ149  ա/դ,40.210749,44.506022,290,188,28,Արաբկիր
ք. Երևանի Հ.Իսակովի անվ. թիվ132 հմ/դ,40.207065,44.504576,1000,1109,82,Արաբկիր
ք. Երևանի Մ.Գալշոյանի անվան թիվ 148 ա/դ,40.199799,44.502781,750,350,36,Արաբկիր
ք. Երևանի Ռ.Սևակի անվ. թիվ151 հմ/դ,40.201064,44.51152,450,325,38,Արաբկիր
ք. Երևանի թիվ 37 հմ/դ,40.232212,44.547282,500,129,23,Արաբկիր
ք. Երևանի Րաֆֆու անվան թիվ 36 հմ/դ,40.207843,44.509194,740,226,32,Արաբկիր
ք. Երևանի Հ.Գալստյանի անվ. թիվ 83 ա/դ,40.192985,44.489447,650,393,42,Արաբկիր
ք. Երևանի Ղ.Աղայանի անվ. թիվ 63 հմ/դ,40.195766,44.48873,360,287,29,Արաբկիր
ք. Երևանի Մ.Քաջունու անվ. թիվ 54 ա/դ,40.210664,44.521195,600,350,37,Արաբկիր
