"Date","EUR","USD"
2005-01-04,661.22,486.05
2005-01-05,649.65,486.05
2005-01-07,646.32,488.75
2005-01-08,651.25,493.37
2005-01-10,653.41,495.01
2005-01-11,651.73,497.39
2005-01-12,656.72,499.67
2005-02-01,622.56,477.61
2005-02-02,616.39,473.16
2005-02-03,624.49,478.13
2005-02-04,617.38,474.87
2005-02-07,614.66,474.35
2005-02-08,608.87,474.05
2005-02-09,604.44,473.55
2005-02-10,603.67,473.02
2005-02-11,606.79,474.91
2005-03-01,624.4,471
2005-03-02,622.08,470.7
2005-03-03,616.4,470.5
2005-03-04,618.1,470.25
2005-03-05,616.47,470.05
2005-03-09,616.47,470.05
2005-03-10,626.39,469.35
2005-03-11,629.35,469.35
2005-04-01,592.8437,457.3
2005-04-04,592.6151,457.3
2005-04-05,588.24,456.6
2005-04-06,582.1633,454.46
2005-04-07,582.9567,453.31
2005-04-08,584.4168,452.23
2005-04-11,579.7136,452.23
2005-04-12,585.7185,451.56
2005-05-02,569.1362,439.25
2005-05-03,564.9044,439.17
2005-05-04,567.091,441.11
2005-05-05,575.0355,443.94
2005-05-06,595.0938,459.39
2005-05-10,594.3061,459.03
2005-05-11,587.5949,457.13
2005-05-12,587.2002,455.83
2005-06-01,549.9379,445.98
2005-06-02,545.3443,445.98
2005-06-03,548.6221,447.38
2005-06-06,550.9404,448.32
2005-06-07,551.7859,449.63
2005-06-08,553.3655,450.44
2005-06-09,560.7297,454.99
2005-06-10,557.9638,455.89
2005-07-01,533.5716,441.26
2005-07-02,533.0971,441.05
2005-07-06,532.7466,440.76
2005-07-07,524.5532,440.32
2005-07-08,526.2993,440.16
2005-07-11,522.6213,439.03
2005-07-12,526.5351,438.56
2005-08-01,541.718,447.96
2005-08-02,546.397,447.17
2005-08-03,548.36,448.85
2005-08-04,552.6292,449
2005-08-05,554.2318,449.9
2005-08-08,558.943,451.27
2005-08-09,558.3447,451.37
2005-08-10,559.2481,452.21
2005-08-11,560.4306,452.8
2005-08-12,564.2414,454.85
2005-09-01,568.5366,466.09
2005-09-02,575.3607,464.45
2005-09-05,581.2649,463.27
2005-09-06,580.8479,463.27
2005-09-07,577.164,462.36
2005-09-08,574.4393,461.36
2005-09-09,570.3215,459.27
2005-09-12,567.4276,457.05
2005-10-03,533.9664,443.42
2005-10-04,528.7154,443.07
2005-10-05,531.7305,445.41
2005-10-06,537.4955,449.9
2005-10-07,543.6019,447.63
2005-10-11,541.0951,447.63
2005-10-12,537.4916,447.09
2005-11-01,542.8986,451.55
2005-11-02,542.3773,451.68
2005-11-03,542.0864,452.04
2005-11-04,544.5301,452.23
2005-11-07,540.0398,452.56
2005-11-08,535.9228,453.25
2005-11-09,533.9924,454.81
2005-11-10,534.5016,455.36
2005-11-11,538.4291,457.77
2005-12-01,525.8036,446.77
2005-12-02,525.9881,447.84
2005-12-05,525.324,449.11
2005-12-06,531.7625,451.91
