SEASON_ID,GAME_DATE,home.TEAM_ABBREVIATION,home.TEAM_NAME,home.PTS,away.TEAM_ABBREVIATION,away.TEAM_NAME,away.PTS,home.WL
2009,10/27/09,CLE,Cleveland Cavaliers,89,BOS,Boston Celtics,95,L
2009,10/27/09,DAL,Dallas Mavericks,91,WAS,Washington Wizards,102,L
2009,10/27/09,POR,Portland Trail Blazers,96,HOU,Houston Rockets,87,W
2009,10/27/09,LAL,Los Angeles Lakers,99,LAC,LA Clippers,92,W
2009,10/28/09,ATL,Atlanta Hawks,120,IND,Indiana Pacers,109,W
2009,10/28/09,ORL,Orlando Magic,120,PHI,Philadelphia 76ers,106,W
2009,10/28/09,TOR,Toronto Raptors,101,CLE,Cleveland Cavaliers,91,W
2009,10/28/09,BOS,Boston Celtics,92,CHA,Charlotte Hornets,59,W
2009,10/28/09,MIA,Miami Heat,115,NYK,New York Knicks,93,W
2009,10/28/09,MEM,Memphis Grizzlies,74,DET,Detroit Pistons,96,L
2009,10/28/09,MIN,Minnesota Timberwolves,95,BKN,Brooklyn Nets,93,W
2009,10/28/09,OKC,Oklahoma City Thunder,102,SAC,Sacramento Kings,89,W
2009,10/28/09,SAS,San Antonio Spurs,113,NOP,New Orleans Pelicans,96,W
2009,10/28/09,DEN,Denver Nuggets,114,UTA,Utah Jazz,105,W
2009,10/28/09,GSW,Golden State Warriors,107,HOU,Houston Rockets,108,L
2009,10/28/09,LAC,LA Clippers,107,PHX,Phoenix Suns,109,L
2009,10/29/09,CHI,Chicago Bulls,92,SAS,San Antonio Spurs,85,W
2009,10/29/09,POR,Portland Trail Blazers,94,DEN,Denver Nuggets,97,L
2009,10/30/09,CHA,Charlotte Hornets,102,NYK,New York Knicks,100,W
2009,10/30/09,PHI,Philadelphia 76ers,99,MIL,Milwaukee Bucks,86,W
2009,10/30/09,ATL,Atlanta Hawks,100,WAS,Washington Wizards,89,W
2009,10/30/09,BOS,Boston Celtics,118,CHI,Chicago Bulls,90,W
2009,10/30/09,DET,Detroit Pistons,83,OKC,Oklahoma City Thunder,91,L
2009,10/30/09,IND,Indiana Pacers,83,MIA,Miami Heat,96,L
2009,10/30/09,MEM,Memphis Grizzlies,115,TOR,Toronto Raptors,107,W
2009,10/30/09,MIN,Minnesota Timberwolves,87,CLE,Cleveland Cavaliers,104,L
2009,10/30/09,BKN,Brooklyn Nets,85,ORL,Orlando Magic,95,L
2009,10/30/09,NOP,New Orleans Pelicans,97,SAC,Sacramento Kings,92,W
2009,10/30/09,UTA,Utah Jazz,111,LAC,LA Clippers,98,W
2009,10/30/09,PHX,Phoenix Suns,123,GSW,Golden State Warriors,101,W
2009,10/30/09,LAL,Los Angeles Lakers,80,DAL,Dallas Mavericks,94,L
2009,10/31/09,WAS,Washington Wizards,123,BKN,Brooklyn Nets,104,W
2009,10/31/09,CLE,Cleveland Cavaliers,90,CHA,Charlotte Hornets,79,W
2009,10/31/09,NYK,New York Knicks,127,PHI,Philadelphia 76ers,141,L
2009,10/31/09,HOU,Houston Rockets,111,POR,Portland Trail Blazers,107,W
2009,10/31/09,MIL,Milwaukee Bucks,96,DET,Detroit Pistons,85,W
2009,10/31/09,SAS,San Antonio Spurs,113,SAC,Sacramento Kings,94,W
2009,10/31/09,LAC,LA Clippers,84,DAL,Dallas Mavericks,93,L
2009,11/1/09,TOR,Toronto Raptors,116,ORL,Orlando Magic,125,L
2009,11/1/09,BOS,Boston Celtics,97,NOP,New Orleans Pelicans,87,W
